Region,Availability Zone,Instance Name,Instance ID,Instance Type,Lifecycle,AMI ID,AMI Name
us-west-1,us-west-1a,prod-sms-shared,i-04a85da53952c1832,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-phlo,i-0d5bb517ab32197e2,m5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-voice-core-webms,i-0d297c1d7a8ccc6b1,c6i.2xlarge,On-demand,ami-0deb1a65dc60cd4f9,plivo/debian-buster-hvm-10.11-amd64-server-1727935647-66fe349f-7eb2-7910-ba21-bbb24c41a132
us-west-1,us-west-1a,prod-sms-shared,i-0928ec298ddc95ac4,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-phlo,i-041c7a9b2837ece56,m5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-phlo,i-0f6943da0feb7cc3b,m5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-phlo,i-0b13d6f34a561bfb1,m5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-sms-shared,i-0405a20a00522ce09,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,prod-citadel-logstash,i-005ea08e42628e4d2,m5ad.xlarge,On-demand,ami-09c209f7cb602af34,plivo/amzn2-ami-ecs-hvm-2.0.1718313299-666b6153-a917-5365-0c6f-7ec3778d7f22-x86_64-ebs
us-west-1,us-west-1a,prod-voice-core-ms,i-0e41373e138e653c6,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1a,prod-voice-core-ms,i-0a606818fbc3b836e,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1a,ip-10-202-146-160.us-west-1.compute.internal,i-084e93fc8c5fa5938,c5a.xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1a,prod-fin-systems-dag,i-001325878298fe741,c5d.xlarge,spot,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1a,ip-10-202-128-90.us-west-1.compute.internal,i-0e2cd001b218e6f68,m6gd.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1a,ip-10-202-134-14.us-west-1.compute.internal,i-0f10d46317aed1c97,c6a.4xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,prod-atlantis,i-01ea71768ed7a93bf,t3.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-ryuk,i-06e4f7659828177be,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-voice-pipeline,i-01046f16e8fe79e2d,c6g.2xlarge,On-demand,ami-0502f5e251340b89e,bottlerocket-aws-ecs-2-aarch64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-fin-systems,i-0694a8373d3d2fdb4,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-mms,i-0fbf7321f5cf4e738,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-mms,i-0b8dedc35e52ba647,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
